Species,Species_ScientificName,Red List category,Qualifying criteria,"Previous (2010)
Red List category"
Swallowtail,Papilio machaon,Vulnerable,32% decrease in abundance 2010-2019 (IUCN criterion A2b).,Near Threatened
Dingy Skipper,Erynnis tages,Least Concern,Recent trend estimates for both abundance and distribution do not meet IUCN thresholds.,Vulnerable
Grizzled Skipper,Pyrgus malvae,Vulnerable,36% decrease in abundance 2010-2019 (IUCN criterion A2b).,Vulnerable
Chequered Skipper,Carterocephalus palaemon,Least Concern,"No longer meets IUCN thresholds. Recent surveys found it to be much more widespread in Scotland than previously known, and its distribution trend is positive. The assessment does not yet include the English reintroduction.",Endangered
Essex Skipper,Thymelicus lineola,Least Concern,,Least Concern
Small Skipper,Thymelicus sylvestris,Least Concern,,Least Concern
Lulworth Skipper,Thymelicus acteon,Near Threatened,Small range and extreme fluctuations in population size (IUCN criteria B1c(iv) and B2 c(iv)).,Near Threatened
Silver-spotted Skipper,Hesperia comma,Vulnerable,44% decrease in distribution 2010-2019 (IUCN criterion A2c).,Near Threatened
Large Skipper,Ochlodes sylvanus,Least Concern,,Least Concern
Wood White,Leptidea sinapis,Endangered,Retained as Endangered as its distribution decline still exceeded threshold five years ago (IUCN criterion A2c).,Endangered
Orange-tip,Anthocharis cardamines,Least Concern,,Least Concern
Black-veined White,Aporia crataegi,Regionally Extinct,Last recorded as a resident species in 1920s.,Regionally Extinct
Large White,Pieris brassicae,Least Concern,,Least Concern
Small White,Pieris rapae,Least Concern,,Least Concern
Green-veined White,Pieris napi,Least Concern,,Least Concern
Clouded Yellow,Colias croceus,Least Concern,,Least Concern
Brimstone,Gonepteryx rhamni,Least Concern,,Least Concern
Wall,Lasiommata megera,Endangered,70% decrease in distribution 2010-2019 (IUCN criterion A2c).,Near Threatened
Speckled Wood,Parage aegeria,Least Concern,,Least Concern
Large Heath,Coenonympha tullia,Endangered,57% decrease in distribution 2010-2019 (IUCN criterion A2c).,Vulnerable
Small Heath,Coenonympha pamphilus,Vulnerable,37% decrease in distribution 2010-2019 (IUCN criterion A2c).,Near Threatened
Mountain Ringlet,Erebia epiphron,Near Threatened,Small range and evidence of continued distribution decline (10% decrease 2010-2019) (IUCN criterion B2 c(iv)).,Near Threatened
Scotch Argus,Erebia aethiops,Vulnerable,44% decrease in abundance and 33% decrease in distribution 2010-2019 (IUCN criteria A2b and A2c).,Least Concern
